"Date","Location","MinTemp","MaxTemp"
"2016-06-01","Albury",3.2,17.3
"2016-06-02","Albury",3.3,18.1
"2016-06-03","Albury",4.7,13.6
"2016-06-04","Albury",9.8,14.9
"2016-06-05","Albury",10.8,14.6
"2016-06-06","Albury",7.2,12.3
"2016-06-07","Albury",9,12.6
"2016-06-08","Albury",9.8,14.6
"2016-06-09","Albury",11.4,15.7
"2016-06-10","Albury",10.5,13.8
"2016-06-11","Albury",9.6,13
"2016-06-12","Albury",0.4,12.7
"2016-06-13","Albury",-0.6,13.8
"2016-06-14","Albury",0.9,15.2
"2016-06-15","Albury",0.9,11.4
"2016-06-16","Albury",0,12.9
"2016-06-17","Albury",4.1,15.9
"2016-06-18","Albury",9,17.6
"2016-06-19","Albury",8.1,14.3
"2016-06-20","Albury",10,16.6
"2016-06-21","Albury",8.8,11.6
"2016-06-22","Albury",9.1,13.7
"2016-06-23","Albury",9,13.2
"2016-06-24","Albury",6.6,8.2
"2016-06-25","Albury",-0.8,10.5
"2016-06-26","Albury",-1.3,7.5
"2016-06-27","Albury",2.1,10.6
"2016-06-28","Albury",2.5,11.8
"2016-06-29","Albury",6.2,13.5
"2016-06-30","Albury",3,11.2
"2016-07-01","Albury",5.2,11.4
"2016-07-02","Albury",7.2,12.5
"2016-07-03","Albury",7.9,12.7
"2016-07-04","Albury",8.2,11.7
"2016-07-05","Albury",6.7,10.6
"2016-07-06","Albury",7.2,15.4
"2016-07-07","Albury",4,16.5
"2016-07-08","Albury",6.5,11.8
"2016-07-09","Albury",7,15.8
"2016-07-10","Albury",6.2,14
"2016-07-11","Albury",9.1,16.2
"2016-07-12","Albury",8.6,12.9
"2016-07-13","Albury",3.6,9.5
"2016-07-14","Albury",-0.3,10.8
"2016-07-15","Albury",4.4,12.8
"2016-07-16","Albury",-0.4,14
"2016-07-17","Albury",0.4,16.5
"2016-07-18","Albury",2.1,13.4
"2016-07-19","Albury",7.3,15.2
"2016-07-20","Albury",8.5,17.3
"2016-07-21","Albury",6.2,16.8
"2016-07-22","Albury",9.9,18.2
"2016-07-23","Albury",7.1,10.8
"2016-07-24","Albury",-0.2,10.1
"2016-07-25","Albury",4.7,11.5
"2016-07-26","Albury",4.5,11.3
"2016-07-27","Albury",6.9,12.6
"2016-07-28","Albury",5.9,10.8
"2016-07-29","Albury",7.7,12.2
"2016-07-30","Albury",8.3,12.1
"2016-07-31","Albury",8,14.3
"2016-08-01","Albury",9.6,11.8
"2016-08-02","Albury",8.3,13.7
"2016-08-03","Albury",-0.2,15.4
"2016-08-04","Albury",1.4,15.1
"2016-08-05","Albury",0.5,15.3
"2016-08-06","Albury",1.2,13
"2016-08-07","Albury",0.7,15.6
"2016-08-08","Albury",1.4,15.1
"2016-08-09","Albury",1.8,17.2
"2016-08-10","Albury",7.4,15
"2016-08-11","Albury",4.7,13.4
"2016-08-12","Albury",0.7,11.6
"2016-08-13","Albury",4.7,15.4
"2016-08-14","Albury",4.7,16.6
"2016-08-15","Albury",2.2,16.8
"2016-08-16","Albury",1.7,18.5
"2016-08-17","Albury",6,18
"2016-08-18","Albury",4,19.6
"2016-08-19","Albury",9.3,16.4
"2016-08-20","Albury",5.3,12
"2016-08-21","Albury",5.4,15.4
"2016-08-22","Albury",8.4,13.9
"2016-08-23","Albury",4.2,15.7
"2016-08-24","Albury",2.6,12.2
"2016-08-25","Albury",3.3,14.1
"2016-08-26","Albury",0.2,13.6
"2016-08-27","Albury",0.7,13.5
"2016-08-28","Albury",2.1,16.9
"2016-08-29","Albury",3.4,18.2
"2016-08-30","Albury",7.8,15.3
"2016-08-31","Albury",10.6,18.4
