"Date","Location","MinTemp","MaxTemp"
"2008-12-01","Albury",13.4,22.9
"2008-12-02","Albury",7.4,25.1
"2008-12-03","Albury",12.9,25.7
"2008-12-04","Albury",9.2,28
"2008-12-05","Albury",17.5,32.3
"2008-12-06","Albury",14.6,29.7
"2008-12-07","Albury",14.3,25
"2008-12-08","Albury",7.7,26.7
"2008-12-09","Albury",9.7,31.9
"2008-12-10","Albury",13.1,30.1
"2008-12-11","Albury",13.4,30.4
"2008-12-12","Albury",15.9,21.7
"2008-12-13","Albury",15.9,18.6
"2008-12-14","Albury",12.6,21
"2008-12-15","Albury",8.4,24.6
"2008-12-16","Albury",9.8,27.7
"2008-12-17","Albury",14.1,20.9
"2008-12-18","Albury",13.5,22.9
"2008-12-19","Albury",11.2,22.5
"2008-12-20","Albury",9.8,25.6
"2008-12-21","Albury",11.5,29.3
"2008-12-22","Albury",17.1,33
"2008-12-23","Albury",20.5,31.8
"2008-12-24","Albury",15.3,30.9
"2008-12-25","Albury",12.6,32.4
"2008-12-26","Albury",16.2,33.9
"2008-12-27","Albury",16.9,33
"2008-12-28","Albury",20.1,32.7
"2008-12-29","Albury",19.7,27.2
"2008-12-30","Albury",12.5,24.2
"2008-12-31","Albury",12,24.4
"2009-01-01","Albury",11.3,26.5
"2009-01-02","Albury",9.6,23.9
"2009-01-03","Albury",10.5,28.8
"2009-01-04","Albury",12.3,34.6
"2009-01-05","Albury",12.9,35.8
"2009-01-06","Albury",13.7,37.9
"2009-01-07","Albury",16.1,38.9
"2009-01-08","Albury",14,28.3
"2009-01-09","Albury",12.5,28.4
"2009-01-10","Albury",17,30.8
"2009-01-11","Albury",16.9,32
"2009-01-12","Albury",17.3,34.7
"2009-01-13","Albury",17.2,37.7
"2009-01-14","Albury",17.4,43
"2009-01-15","Albury",19.8,32.7
"2009-01-16","Albury",14.9,26.7
"2009-01-17","Albury",10.5,28.4
"2009-01-18","Albury",11.3,32.2
"2009-01-19","Albury",13.9,36.6
"2009-01-20","Albury",18.6,39.9
"2009-01-21","Albury",19.3,38.1
"2009-01-22","Albury",24.4,34
"2009-01-23","Albury",18.8,35.2
"2009-01-24","Albury",20.8,30.6
"2009-01-25","Albury",14,34.3
"2009-01-26","Albury",15.7,38.4
"2009-01-27","Albury",18.5,38.2
"2009-01-28","Albury",20.4,40.7
"2009-01-29","Albury",21.8,41.5
"2009-01-30","Albury",22.3,42.9
"2009-01-31","Albury",22,42.7
"2009-02-01","Albury",28,43.1
"2009-02-02","Albury",24.4,38.3
"2009-02-03","Albury",21.5,37.7
"2009-02-04","Albury",21.7,36.9
"2009-02-05","Albury",21.5,41.2
"2009-02-06","Albury",23.5,42.2
"2009-02-07","Albury",22.3,44.8
"2009-02-08","Albury",28.3,40.2
"2009-02-09","Albury",18.4,31.2
"2009-02-10","Albury",14.9,27.3
"2009-02-11","Albury",13.5,26.7
"2009-02-12","Albury",16.1,21.6
"2009-02-13","Albury",14.6,29
"2009-02-14","Albury",12.4,29.2
"2009-02-15","Albury",13.3,31.3
"2009-02-16","Albury",17.2,31.1
"2009-02-17","Albury",12.5,28.8
"2009-02-18","Albury",18,32
"2009-02-19","Albury",16.2,34
"2009-02-20","Albury",18.7,29.1
"2009-02-21","Albury",13.7,31.7
"2009-02-22","Albury",15.5,33.2
"2009-02-23","Albury",14.3,34
"2009-02-24","Albury",12.9,29.6
"2009-02-25","Albury",8.9,31.9
"2009-02-26","Albury",15,32.7
"2009-02-27","Albury",15.4,32.6
"2009-02-28","Albury",16,34.5
"2009-12-01","Albury",12.3,23.6
"2009-12-02","Albury",10.6,27
"2009-12-03","Albury",11.4,31.5
"2009-12-04","Albury",12.3,27.5
"2009-12-05","Albury",10.7,26.7
"2009-12-06","Albury",11.1,30.7
"2009-12-07","Albury",13.4,31.9
"2009-12-08","Albury",18.2,24.9
"2009-12-09","Albury",9.2,25.4
"2009-12-10","Albury",14.2,27.4
"2009-12-11","Albury",9.2,22.6
"2009-12-12","Albury",9,26.5
"2009-12-13","Albury",11.8,29.6
"2009-12-14","Albury",13.6,32
"2009-12-15","Albury",13.1,34.7
"2009-12-16","Albury",14.6,38.6
"2009-12-17","Albury",14.5,40.3
"2009-12-18","Albury",12.2,26.4
"2009-12-19","Albury",11.1,29.2
"2009-12-20","Albury",12,31.3
"2009-12-21","Albury",12.7,33.7
"2009-12-22","Albury",15.1,36.6
"2009-12-23","Albury",18.1,38.2
"2009-12-24","Albury",22.9,34.6
"2009-12-25","Albury",18.8,28.3
"2009-12-26","Albury",17.1,31.3
"2009-12-27","Albury",17.6,27.3
"2009-12-28","Albury",17.8,35.9
"2009-12-29","Albury",18.7,35.9
"2009-12-30","Albury",19.8,36.8
"2009-12-31","Albury",21.1,33.2
"2010-01-01","Albury",19.4,31.9
"2010-01-02","Albury",18.6,29.1
"2010-01-03","Albury",12.2,29.7
"2010-01-04","Albury",14.8,32.8
"2010-01-05","Albury",15,35.8
"2010-01-06","Albury",16.3,33.8
"2010-01-07","Albury",15,33
"2010-01-08","Albury",17.4,36.4
"2010-01-09","Albury",19.6,39.8
"2010-01-10","Albury",20.6,42.2
"2010-01-11","Albury",21,42.2
"2010-01-12","Albury",24.5,42.4
"2010-01-13","Albury",22.6,28.4
"2010-01-14","Albury",15.7,31.7
"2010-01-15","Albury",17.2,36.3
"2010-01-16","Albury",21.8,36.6
"2010-01-17","Albury",16.8,25.6
"2010-01-18","Albury",10.5,22.6
"2010-01-19","Albury",8.7,25.2
"2010-01-20","Albury",11,32.9
"2010-01-21","Albury",15.4,37.3
"2010-01-22","Albury",19.2,41.8
"2010-01-23","Albury",24.7,35.4
"2010-01-24","Albury",14.4,33.7
"2010-01-25","Albury",14.3,35.8
"2010-01-26","Albury",15.1,35.9
"2010-01-27","Albury",17.7,36.4
"2010-01-28","Albury",15.2,34.4
"2010-01-29","Albury",16,35.2
"2010-01-30","Albury",18.9,36.5
"2010-01-31","Albury",21.7,36.3
"2010-02-01","Albury",21,38.2
"2010-02-02","Albury",17.8,34.3
"2010-02-03","Albury",17.9,35.6
"2010-02-04","Albury",23.5,32
"2010-02-05","Albury",19.2,26.1
"2010-02-06","Albury",19.5,30.3
"2010-02-07","Albury",20.3,33.9
"2010-02-08","Albury",23,34
"2010-02-09","Albury",22.1,35.1
"2010-02-10","Albury",21.7,35.6
"2010-02-11","Albury",21.5,35
"2010-02-12","Albury",22.5,29.1
"2010-02-13","Albury",20.8,27.1
"2010-02-14","Albury",20.5,30.3
"2010-02-15","Albury",17.8,26.8
"2010-02-16","Albury",17.6,29
"2010-02-17","Albury",15.5,30.6
"2010-02-18","Albury",NA,31.2
"2010-02-19","Albury",16.4,30.3
"2010-02-20","Albury",15.7,31.8
"2010-02-21","Albury",19.6,34.7
"2010-02-22","Albury",20.2,26.4
"2010-02-23","Albury",12.5,26.1
"2010-02-24","Albury",12.8,28.5
"2010-02-25","Albury",15,31
"2010-02-26","Albury",17.2,NA
"2010-02-27","Albury",NA,26.3
"2010-02-28","Albury",18.2,29.3
"2010-12-01","Albury",16.7,23.9
"2010-12-02","Albury",16.1,26.6
"2010-12-03","Albury",15.7,27.3
"2010-12-04","Albury",17.3,29.9
