"Date","Location","MinTemp","MaxTemp"
"2009-06-01","Albury",8,14.3
"2009-06-02","Albury",8.4,13.4
"2009-06-03","Albury",10.6,14.3
"2009-06-04","Albury",8.9,17.4
"2009-06-05","Albury",2.8,16.1
"2009-06-06","Albury",1.7,10.5
"2009-06-07","Albury",4.7,11.6
"2009-06-08","Albury",9,12
"2009-06-09","Albury",6.3,8.8
"2009-06-10","Albury",3,10.5
"2009-06-11","Albury",-2,9.6
"2009-06-12","Albury",-1.3,8.2
"2009-06-13","Albury",1.8,12.4
"2009-06-14","Albury",2,15.8
"2009-06-15","Albury",0.5,14.9
"2009-06-16","Albury",1.2,17.7
"2009-06-17","Albury",0.6,15.9
"2009-06-18","Albury",0.5,14.7
"2009-06-19","Albury",0.5,15.3
"2009-06-20","Albury",0.9,17.3
"2009-06-21","Albury",7,17
"2009-06-22","Albury",5,14.9
"2009-06-23","Albury",3.9,15.5
"2009-06-24","Albury",7.7,14.1
"2009-06-25","Albury",4.7,12.2
"2009-06-26","Albury",6.9,13.7
"2009-06-27","Albury",8.4,11.9
"2009-06-28","Albury",9.3,12.3
"2009-06-29","Albury",8.2,15.7
"2009-06-30","Albury",9.1,16.1
"2009-07-01","Albury",8.3,13.3
"2009-07-02","Albury",8.8,11.6
"2009-07-03","Albury",7.6,12
"2009-07-04","Albury",5.7,13.2
"2009-07-05","Albury",3.4,12.4
"2009-07-06","Albury",0,12.1
"2009-07-07","Albury",-1.5,12.5
"2009-07-08","Albury",-1.7,13.8
"2009-07-09","Albury",-0.4,15
"2009-07-10","Albury",0.1,13.5
"2009-07-11","Albury",4.8,13.3
"2009-07-12","Albury",8.1,16.5
"2009-07-13","Albury",5.9,13.1
"2009-07-14","Albury",6.9,11
"2009-07-15","Albury",2.9,12.6
"2009-07-16","Albury",-0.6,13.4
"2009-07-17","Albury",-0.3,14.4
"2009-07-18","Albury",-1,12
"2009-07-19","Albury",3.2,14.1
"2009-07-20","Albury",3.6,16.5
"2009-07-21","Albury",0.8,17.7
"2009-07-22","Albury",6.6,12.3
"2009-07-23","Albury",6,13.5
"2009-07-24","Albury",-0.1,12.9
"2009-07-25","Albury",-0.3,12.2
"2009-07-26","Albury",2.1,9.8
"2009-07-27","Albury",1.3,8.8
"2009-07-28","Albury",4.2,12.7
"2009-07-29","Albury",8.3,13.2
"2009-07-30","Albury",3.3,12.1
"2009-07-31","Albury",6.5,14.5
"2009-08-01","Albury",7.4,13.9
"2009-08-02","Albury",7.5,14.1
"2009-08-03","Albury",8.3,13.8
"2009-08-04","Albury",3.2,14.7
"2009-08-05","Albury",5.7,13.8
"2009-08-06","Albury",5.1,17.1
"2009-08-07","Albury",8,13.9
"2009-08-08","Albury",-0.8,12.9
"2009-08-09","Albury",-1,12.2
"2009-08-10","Albury",1.9,14.8
"2009-08-11","Albury",5.9,17.7
"2009-08-12","Albury",6.9,14.3
"2009-08-13","Albury",7.7,11.6
"2009-08-14","Albury",6.8,15.2
"2009-08-15","Albury",2.7,17.5
"2009-08-16","Albury",5.1,15.5
"2009-08-17","Albury",4.2,13.6
"2009-08-18","Albury",0.6,15.6
"2009-08-19","Albury",1.6,16.4
"2009-08-20","Albury",5.5,18.4
"2009-08-21","Albury",7.3,14.8
"2009-08-22","Albury",0.2,14.1
"2009-08-23","Albury",5.8,18.9
"2009-08-24","Albury",8.9,17.1
"2009-08-25","Albury",7.1,12.8
"2009-08-26","Albury",4.2,14.4
"2009-08-27","Albury",1.1,16.7
"2009-08-28","Albury",1.1,18.6
"2009-08-29","Albury",7.2,17.9
"2009-08-30","Albury",6.3,11.1
"2009-08-31","Albury",6.7,14.2
"2010-06-01","Albury",4.2,16.6
"2010-06-02","Albury",4.3,17.7
"2010-06-03","Albury",3.4,17.7
"2010-06-04","Albury",3.1,18.4
"2010-06-05","Albury",1.7,10.2
"2010-06-06","Albury",5,15.8
"2010-06-07","Albury",0.4,14
"2010-06-08","Albury",3.1,12.2
"2010-06-09","Albury",5.3,8.4
"2010-06-10","Albury",4.9,12.9
"2010-06-11","Albury",7.2,13.2
"2010-06-12","Albury",0,13.3
"2010-06-13","Albury",-1,13.1
"2010-06-14","Albury",-2,13.2
"2010-06-15","Albury",-0.3,12.8
"2010-06-16","Albury",1.5,15.5
"2010-06-17","Albury",7.4,16.2
"2010-06-18","Albury",3,12.2
"2010-06-19","Albury",6.9,15.2
"2010-06-20","Albury",3.6,13.1
"2010-06-21","Albury",5,12.5
"2010-06-22","Albury",3,14.8
"2010-06-23","Albury",3.5,16.5
"2010-06-24","Albury",3.4,17
"2010-06-25","Albury",7,16.1
"2010-06-26","Albury",6.2,12.1
"2010-06-27","Albury",0.6,11.9
"2010-06-28","Albury",-0.6,8.3
"2010-06-29","Albury",2.3,9.4
"2010-06-30","Albury",5.1,9.8
"2010-07-01","Albury",3.2,11.9
"2010-07-02","Albury",0.2,10.9
"2010-07-03","Albury",1,10.3
"2010-07-04","Albury",1.5,10.8
"2010-07-05","Albury",1.8,12.1
"2010-07-06","Albury",2.3,13.9
"2010-07-07","Albury",1.5,13.5
"2010-07-08","Albury",2.1,14.8
"2010-07-09","Albury",0,14.6
"2010-07-10","Albury",1.5,16.1
"2010-07-11","Albury",5,15.4
