,Date,Location,MinTemp,MaxTemp
0,12/1/2008,MountGinini,5.2,13.0
1,12/2/2008,MountGinini,3.0,15.0
2,12/3/2008,MountGinini,6.0,15.0
3,12/4/2008,MountGinini,2.0,15.0
4,12/5/2008,MountGinini,8.0,17.8
5,12/6/2008,MountGinini,9.4,17.0
6,12/7/2008,MountGinini,6.0,16.0
7,12/8/2008,MountGinini,1.7,16.0
8,12/9/2008,MountGinini,6.0,17.9
9,12/10/2008,MountGinini,6.5,17.8
10,12/11/2008,MountGinini,5.6,13.1
11,12/12/2008,MountGinini,4.9,14.0
12,12/13/2008,MountGinini,6.0,13.8
13,12/14/2008,MountGinini,2.8,8.0
14,12/15/2008,MountGinini,1.0,15.0
15,12/16/2008,MountGinini,2.0,15.0
16,12/17/2008,MountGinini,7.0,15.0
17,12/18/2008,MountGinini,6.4,14.0
18,12/19/2008,MountGinini,2.0,11.8
19,12/20/2008,MountGinini,-1.0,13.0
20,12/21/2008,MountGinini,3.0,15.4
21,12/22/2008,MountGinini,6.7,20.0
22,12/23/2008,MountGinini,11.0,19.0
23,12/24/2008,MountGinini,8.0,14.7
24,12/25/2008,MountGinini,8.2,20.0
25,12/26/2008,MountGinini,11.0,22.0
26,12/27/2008,MountGinini,13.0,18.0
27,12/28/2008,MountGinini,10.0,20.0
28,12/29/2008,MountGinini,10.0,17.0
29,12/30/2008,MountGinini,5.0,10.0
30,12/31/2008,MountGinini,3.0,14.0
31,1/1/2009,MountGinini,5.0,16.0
32,1/2/2009,MountGinini,1.0,16.1
33,1/3/2009,MountGinini,2.0,18.0
34,1/4/2009,MountGinini,4.0,22.0
35,1/5/2009,MountGinini,11.0,22.0
36,1/6/2009,MountGinini,14.0,24.6
37,1/7/2009,MountGinini,16.4,26.9
38,1/8/2009,MountGinini,11.4,21.0
39,1/9/2009,MountGinini,3.0,14.0
40,1/10/2009,MountGinini,2.0,17.0
41,1/11/2009,MountGinini,4.0,20.0
42,1/12/2009,MountGinini,9.0,22.0
43,1/13/2009,MountGinini,9.0,24.0
44,1/14/2009,MountGinini,15.0,26.7
45,1/15/2009,MountGinini,17.2,26.4
46,1/16/2009,MountGinini,8.0,19.0
47,1/17/2009,MountGinini,3.0,17.0
48,1/18/2009,MountGinini,5.0,21.0
49,1/19/2009,MountGinini,9.0,22.6
50,1/20/2009,MountGinini,13.6,25.0
51,1/21/2009,MountGinini,12.0,23.7
52,1/22/2009,MountGinini,12.2,16.9
53,1/23/2009,MountGinini,12.4,20.0
54,1/24/2009,MountGinini,12.0,19.0
55,1/25/2009,MountGinini,7.0,21.3
56,1/26/2009,MountGinini,12.6,25.0
57,1/27/2009,MountGinini,10.0,23.8
58,1/28/2009,MountGinini,15.0,25.2
59,1/29/2009,MountGinini,16.9,28.0
60,1/30/2009,MountGinini,18.0,29.0
61,1/31/2009,MountGinini,17.0,29.0
62,2/1/2009,MountGinini,18.0,25.0
63,2/2/2009,MountGinini,9.0,25.0
64,2/3/2009,MountGinini,13.0,26.7
65,2/4/2009,MountGinini,10.9,23.3
66,2/5/2009,MountGinini,15.6,27.0
67,2/6/2009,MountGinini,16.0,29.0
68,2/7/2009,MountGinini,17.0,28.9
69,2/8/2009,MountGinini,20.2,29.0
70,2/9/2009,MountGinini,11.3,21.0
71,2/10/2009,MountGinini,7.6,18.0
72,2/11/2009,MountGinini,3.0,13.0
73,2/12/2009,MountGinini,3.0,6.0
74,2/13/2009,MountGinini,1.0,8.0
75,2/14/2009,MountGinini,2.0,12.0
76,2/15/2009,MountGinini,4.0,11.0
77,2/16/2009,MountGinini,5.0,10.4
78,2/17/2009,MountGinini,3.6,13.0
79,2/18/2009,MountGinini,5.0,17.0
80,2/19/2009,MountGinini,8.0,20.0
81,2/20/2009,MountGinini,9.0,21.0
82,2/21/2009,MountGinini,9.0,20.0
83,2/22/2009,MountGinini,7.0,19.0
84,2/23/2009,MountGinini,9.0,19.5
85,2/24/2009,MountGinini,9.7,21.0
86,2/25/2009,MountGinini,9.0,22.3
87,2/26/2009,MountGinini,5.7,19.0
88,2/27/2009,MountGinini,7.0,21.0
89,2/28/2009,MountGinini,12.0,24.0
90,12/1/2009,MountGinini,-1.7,10.0
91,12/2/2009,MountGinini,-0.8,15.9
92,12/3/2009,MountGinini,5.5,17.6
93,12/4/2009,MountGinini,10.6,18.4
94,12/5/2009,MountGinini,4.9,16.2
95,12/6/2009,MountGinini,5.4,21.2
96,12/7/2009,MountGinini,10.2,21.5
97,12/8/2009,MountGinini,11.3,22.2
98,12/9/2009,MountGinini,3.5,15.7
99,12/10/2009,MountGinini,6.2,16.2
100,12/11/2009,MountGinini,0.5,13.3
101,12/12/2009,MountGinini,2.8,17.3
102,12/13/2009,MountGinini,6.2,21.5
103,12/14/2009,MountGinini,7.7,19.5
104,12/15/2009,MountGinini,7.3,23.5
105,12/16/2009,MountGinini,12.9,25.7
106,12/17/2009,MountGinini,16.7,27.3
107,12/18/2009,MountGinini,9.3,16.8
108,12/19/2009,MountGinini,5.4,20.1
109,12/20/2009,MountGinini,6.1,18.6
110,12/21/2009,MountGinini,7.6,22.0
111,12/22/2009,MountGinini,12.1,24.2
112,12/23/2009,MountGinini,12.1,25.9
113,12/24/2009,MountGinini,15.1,23.3
114,12/25/2009,MountGinini,11.2,13.3
115,12/26/2009,MountGinini,7.8,12.4
116,12/27/2009,MountGinini,9.2,18.5
117,12/28/2009,MountGinini,10.3,20.3
118,12/30/2009,MountGinini,9.0,20.8
119,12/31/2009,MountGinini,10.3,21.2
120,1/1/2010,MountGinini,10.4,19.6
121,1/2/2010,MountGinini,11.8,18.0
122,1/3/2010,MountGinini,7.7,20.1
123,1/4/2010,MountGinini,6.8,19.2
124,1/5/2010,MountGinini,8.1,20.9
125,1/6/2010,MountGinini,10.6,22.1
126,1/7/2010,MountGinini,6.9,21.7
127,1/8/2010,MountGinini,8.0,22.3
128,1/10/2010,MountGinini,16.0,27.8
129,1/11/2010,MountGinini,14.6,27.7
130,1/12/2010,MountGinini,17.9,27.9
131,1/16/2010,MountGinini,10.6,20.0
132,1/17/2010,MountGinini,9.5,16.0
133,1/18/2010,MountGinini,0.3,7.6
134,1/19/2010,MountGinini,-0.6,14.8
135,1/20/2010,MountGinini,5.1,20.0
136,1/21/2010,MountGinini,11.5,25.2
137,1/22/2010,MountGinini,13.4,26.7
138,1/23/2010,MountGinini,16.8,25.2
139,1/24/2010,MountGinini,5.5,22.6
140,1/25/2010,MountGinini,9.2,24.4
141,1/26/2010,MountGinini,12.6,24.8
142,1/27/2010,MountGinini,10.9,24.2
143,1/28/2010,MountGinini,10.7,22.6
144,1/29/2010,MountGinini,11.8,24.5
145,1/30/2010,MountGinini,8.2,20.6
146,1/31/2010,MountGinini,9.1,21.7
147,2/1/2010,MountGinini,10.9,22.4
148,2/2/2010,MountGinini,7.5,19.5
149,2/3/2010,MountGinini,9.1,17.1
151,2/5/2010,MountGinini,12.8,16.2
152,2/6/2010,MountGinini,9.8,13.3
153,2/7/2010,MountGinini,9.8,16.1
154,2/8/2010,MountGinini,10.9,19.7
155,2/9/2010,MountGinini,10.7,22.9
156,2/10/2010,MountGinini,13.8,23.4
