Date,Location,MinTemp,MaxTemp
12/1/2008,MountGinini,5.2,13
12/2/2008,MountGinini,3,15
12/3/2008,MountGinini,6,15
12/4/2008,MountGinini,2,15
12/5/2008,MountGinini,8,17.8
12/6/2008,MountGinini,9.4,17
12/7/2008,MountGinini,6,16
12/8/2008,MountGinini,1.7,16
12/9/2008,MountGinini,6,17.9
12/10/2008,MountGinini,6.5,17.8
12/11/2008,MountGinini,5.6,13.1
12/12/2008,MountGinini,4.9,14
12/13/2008,MountGinini,6,13.8
12/14/2008,MountGinini,2.8,8
12/15/2008,MountGinini,1,15
12/16/2008,MountGinini,2,15
12/17/2008,MountGinini,7,15
12/18/2008,MountGinini,6.4,14
12/19/2008,MountGinini,2,11.8
12/20/2008,MountGinini,-1,13
12/21/2008,MountGinini,3,15.4
12/22/2008,MountGinini,6.7,20
12/23/2008,MountGinini,11,19
12/24/2008,MountGinini,8,14.7
12/25/2008,MountGinini,8.2,20
12/26/2008,MountGinini,11,22
12/27/2008,MountGinini,13,18
12/28/2008,MountGinini,10,20
12/29/2008,MountGinini,10,17
12/30/2008,MountGinini,5,10
12/31/2008,MountGinini,3,14
1/1/2009,MountGinini,5,16
1/2/2009,MountGinini,1,16.1
1/3/2009,MountGinini,2,18
1/4/2009,MountGinini,4,22
1/5/2009,MountGinini,11,22
1/6/2009,MountGinini,14,24.6
1/7/2009,MountGinini,16.4,26.9
1/8/2009,MountGinini,11.4,21
1/9/2009,MountGinini,3,14
1/10/2009,MountGinini,2,17
1/11/2009,MountGinini,4,20
1/12/2009,MountGinini,9,22
1/13/2009,MountGinini,9,24
1/14/2009,MountGinini,15,26.7
1/15/2009,MountGinini,17.2,26.4
1/16/2009,MountGinini,8,19
1/17/2009,MountGinini,3,17
1/18/2009,MountGinini,5,21
1/19/2009,MountGinini,9,22.6
1/20/2009,MountGinini,13.6,25
1/21/2009,MountGinini,12,23.7
1/22/2009,MountGinini,12.2,16.9
1/23/2009,MountGinini,12.4,20
1/24/2009,MountGinini,12,19
1/25/2009,MountGinini,7,21.3
1/26/2009,MountGinini,12.6,25
1/27/2009,MountGinini,10,23.8
1/28/2009,MountGinini,15,25.2
1/29/2009,MountGinini,16.9,28
1/30/2009,MountGinini,18,29
1/31/2009,MountGinini,17,29
2/1/2009,MountGinini,18,25
2/2/2009,MountGinini,9,25
2/3/2009,MountGinini,13,26.7
2/4/2009,MountGinini,10.9,23.3
2/5/2009,MountGinini,15.6,27
2/6/2009,MountGinini,16,29
2/7/2009,MountGinini,17,28.9
2/8/2009,MountGinini,20.2,29
2/9/2009,MountGinini,11.3,21
2/10/2009,MountGinini,7.6,18
2/11/2009,MountGinini,3,13
2/12/2009,MountGinini,3,6
2/13/2009,MountGinini,1,8
2/14/2009,MountGinini,2,12
2/15/2009,MountGinini,4,11
2/16/2009,MountGinini,5,10.4
2/17/2009,MountGinini,3.6,13
2/18/2009,MountGinini,5,17
2/19/2009,MountGinini,8,20
2/20/2009,MountGinini,9,21
2/21/2009,MountGinini,9,20
2/22/2009,MountGinini,7,19
2/23/2009,MountGinini,9,19.5
2/24/2009,MountGinini,9.7,21
2/25/2009,MountGinini,9,22.3
2/26/2009,MountGinini,5.7,19
2/27/2009,MountGinini,7,21
2/28/2009,MountGinini,12,24
12/1/2009,MountGinini,-1.7,10
12/2/2009,MountGinini,-0.8,15.9
12/3/2009,MountGinini,5.5,17.6
12/4/2009,MountGinini,10.6,18.4
12/5/2009,MountGinini,4.9,16.2
12/6/2009,MountGinini,5.4,21.2
12/7/2009,MountGinini,10.2,21.5
12/8/2009,MountGinini,11.3,22.2
12/9/2009,MountGinini,3.5,15.7
12/10/2009,MountGinini,6.2,16.2
12/11/2009,MountGinini,0.5,13.3
12/12/2009,MountGinini,2.8,17.3
12/13/2009,MountGinini,6.2,21.5
12/14/2009,MountGinini,7.7,19.5
12/15/2009,MountGinini,7.3,23.5
